Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandl‰nge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur auﬂen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandl‰nge auf Abhaspel
sec;mm;kW;∞C;∞C;∞C;mm;mbar;mbar;m/min;∞C;;m
240;0,32;0;275,557;274,917;273,84;355;52,2714;52,0255;0;271,396;;4143,76
241;0,32;0;275,586;274,906;273,84;355;31,5104;32,1036;0;271,396;;4143,76
242;0,32;0;275,637;274,895;273,84;355;19,7483;19,8061;0;271,396;;4143,76
243;0,32;0;275,68;274,888;273,84;355;12,1238;12,5362;0;271,396;;4143,76
244;0,32;0;275,615;274,917;273,84;355;7,58825;8,03675;0;271,396;;4143,76
245;0,32;0;275,477;274,924;273,84;355;4,88281;5,1577;0;271,396;;4143,76
246;0,32;0;275,347;274,91;273,84;355;3,1684;3,54456;0;271,396;;4143,76
247;0,32;0;275,275;274,895;273,84;355;2,14844;2,47396;0;271,396;;4143,76
248;0,32;0;275,326;274,888;273,84;355;1,5408;1,88079;0;271,396;;4143,76
249;0,32;0;275,398;274,826;273,84;355;1,20081;1,46123;0;271,396;;4143,76
250;0,32;0;275,485;274,693;273,84;355;0,962095;1,23698;0;271,396;;4143,76
251;0,32;0;275,456;274,519;273,84;355;0,860822;1,07784;0;271,396;;4143,76
252;0,32;0;275,34;274,519;273,84;355;0,72338;1,0055;0;271,396;;4143,76
253;0,32;0;274,66;274,519;273,84;355;0,593171;0,925926;0;271,396;;4143,76
254;0,32;0;274,588;274,537;273,84;355;0,578704;0,969329;0;271,391;;4143,76
255;0,32;0;274,631;274,562;273,84;355;0,578704;0,889757;0;271,385;;4143,76
256;0,32;0;274,689;274,602;273,84;355;0,578704;0,868056;0;271,378;;4143,76
257;0,32;0;274,899;274,693;273,84;355;0,578704;0,868056;0;271,37;;4143,76
258;0,32;0;274,913;274,689;273,84;355;0,578704;0,868056;0;271,365;;4143,76
259;0,32;0;275,014;274,725;273,84;355;0,578704;0,868056;0;271,358;;4143,76
260;0,32;0;274,957;274,725;273,84;355;0,600405;0,868056;0;271,351;;4143,76
261;0,32;0;274,935;274,776;273,84;355;0,607639;0,868056;0;271,346;;4143,76
262;0,32;0;274,964;274,779;273,84;355;0,448495;0,868056;0;271,341;;4143,76
263;0,32;0;275,022;274,772;273,84;355;0,520833;0,868056;0;271,336;;4143,76
264;0,32;0;274,768;274,729;273,84;355;0,520833;0,868056;0;271,332;;4143,76
265;0,32;0;274,479;274,649;273,84;355;0,549769;0,868056;0;271,33;;4143,76
266;0,32;0;274,371;274,649;273,84;355;0,578704;0,868056;0;271,328;;4143,76
